s,x,y,yaw,curvature
36.0,35.78257840751865,148.50769567538802,-0.041140367871102354,-0.015730615232931455
37.0,36.7818560081794,148.4582152040542,-0.05827972072971264,-0.018539724818358697
38.0,37.778063494386146,148.3903590325405,-0.07821489474670282,-0.02139812879007015
39.0,38.77049240915201,148.30144304936772,-0.10097845479345387,-0.024299599821997437
40.0,39.75843429549015,148.18878314305684,-0.12659622880158247,-0.02723011127233567
41.0,40.74118069641365,148.0496952021287,-0.15508174771351116,-0.030166478471895963
42.0,41.71802315493569,147.88149511510426,-0.18642987411239825,-0.033075189816547196
43.0,42.68825321406938,147.68149877050433,-0.22060978332379752,-0.03591168197738369
44.0,43.65116241682787,147.4470220568499,-0.25755761238426866,-0.03862037982042605
45.0,44.606033682229054,147.17537942706716,-0.29721948095736933,-0.041575170526396456
46.0,45.55092340500772,146.8636811605309,-0.34080174771013294,-0.04607473687128199
47.0,46.48140049106275,146.5086234564086,-0.38906110987819437,-0.05087635328955754
48.0,47.39273276929416,146.10685239503923,-0.44223220530021295,-0.05591562714650267
49.0,48.280188068602016,145.65501405676173,-0.5004886665795504,-0.06107084878564634
50.0,49.13903421788635,145.14975452191504,-0.5639009039780132,-0.0661513768285281
51.0,49.96453904604723,144.5877198708382,-0.6323877538040023,-0.07089313885293609
52.0,50.75172837205524,143.966793486081,-0.7032869984380846,-0.07060929489046536
53.0,51.49461462354697,143.2900398241299,-0.7745277725017455,-0.07132058602999088
54.0,52.18694501625823,142.56187926629596,-0.8469998798986329,-0.07307795123481468
55.0,52.822466765024295,141.78673219849443,-0.9215731758462358,-0.07584910402256108
56.0,53.39492708468043,140.96901900664034,-0.999089030563765,-0.07958391113077967
57.0,53.89807319006195,140.1131600766489,-1.080339725662,-0.08418943248105122
58.0,54.32611296828233,139.22357665715427,-1.1641832723776404,-0.08398413888936454
59.0,54.67803200552732,138.304698944176,-1.2454049046673088,-0.08097844385537886
60.0,54.95564446907648,137.36096243092905,-1.3234487319074015,-0.07761426181066564
61.0,55.160801474437164,136.39680267982249,-1.39825877884138,-0.0741344461056104
62.0,55.29535413711669,135.41665525326565,-1.469922381052633,-0.07073583029631254
63.0,55.3611535726224,134.42495571366769,-1.538638787144317,-0.06756682021859592
64.0,55.36005089646161,133.42613962343788,-1.6046896611085073,-0.06473220159496873
65.0,55.293897224141666,132.4246425449854,-1.6684141074420702,-0.06230144346186399
66.0,55.16454367116989,131.4249000407195,-1.7301891777842753,-0.060317797706901696
67.0,54.97384135305362,130.43134767304943,-1.7904157209455116,-0.05880660587315948
68.0,54.72364138530016,129.4484210043844,-1.8495088432625164,-0.05778208332601898
69.0,54.415794883416886,128.48055559713356,-1.9078920022454096,-0.05725238201476058
70.0,54.052152962911094,127.53218701370625,-1.9659937127713052,-0.05722298943200832
71.0,53.63456673929012,126.60775081651164,-2.024245886029698,-0.05769858964543658
72.0,53.164887328061305,125.71168256795895,-2.0830828711466007,-0.058683468493502956
73.0,52.64496584473196,124.84841783045741,-2.142940284548975,-0.06018044419690865
74.0,52.07665340480945,124.02239216641628,-2.20425267386566,-0.0621881871036367
75.0,51.46180112380108,123.23804113824474,-2.2674489736809744,-0.06469669718529877
76.0,50.802260117214175,122.49980030835202,-2.3329445959186956,-0.06768068899706603
77.0,50.09988150055609,121.8121052391474,-2.40112891785182,-0.07109077421655172
78.0,49.35651638933412,121.17939149304,-2.4723469931364797,-0.07484274937895133
79.0,48.57401589905563,120.60609463243915,-2.546874681065362,-0.07880612082820164
80.0,47.75423114522794,120.09665021975404,-2.624887277669574,-0.08279429097699342
81.0,46.899013243358375,119.65549381739388,-2.7064233328978875,-0.08656041567455555
82.0,46.01021330895427,119.28706098776789,-2.7913476796433123,-0.08980419281533512
83.0,45.089827542259734,118.99549315284682,-2.877737444040744,-0.08707066250294751
84.0,44.14178882672916,118.78100536121892,-2.9594868857439374,-0.08112118562269159
85.0,43.171409523373725,118.64101595009934,-3.03622391920951,-0.07545807139686321
86.0,42.184031600067904,118.57288323263741,-3.1083235263725633,-0.0703152231652115
87.0,41.18499702468622,118.57396552198253,-3.176281003158008,-0.06582808395319514
88.0,40.17964776510317,118.64162113128418,-3.2406604718072596,-0.0620628899627983
89.0,39.17332578919327,118.77320837369167,-3.3020597159531975,-0.05904304715992783
90.0,38.171373064831016,118.96608556235445,-3.36108894302184,-0.05676986210156017
91.0,37.17913155989091,119.2176110104219,-3.418360325257351,-0.055237569165552634
92.0,36.201943242247474,119.52514303104343,-3.474485379938957,-0.05444372566668705
93.0,35.24515007977519,119.88603993736841,-3.530077815141959,-0.05439625843489917
94.0,34.31409404034858,120.29766004254628,-3.5857600485823338,-0.05511822456788935
95.0,33.41411708604464,120.75736165913204,-3.6421714371987033,-0.05657808433371056
96.0,32.54918253973752,121.2623617579731,-3.6974661280902374,-0.05369772630206592
97.0,31.718003924767952,121.80933908669697,-3.749194653138127,-0.05017093740636337
98.0,30.918045355349815,122.39484430022996,-3.796987452459619,-0.04617533374554523
99.0,30.146770945696936,123.01542805349835,-3.840592843748796,-0.0418759971768163
100.0,29.401644810023186,123.66764100142846,-3.879861356985538,-0.03741263486198142
101.0,28.680131062542426,124.34803379894659,-3.9147255425290948,-0.032893499426920346
102.0,27.979693817468494,125.053157100979,-3.9451785572374565,-0.028394658419860677
103.0,27.297797189015256,125.77956156245203,-3.9712538635516865,-0.023962726741474854
104.0,26.63190529139657,126.52379783829193,-3.9930073933086483,-0.019619339177340087
105.0,25.979482238826282,127.28241658342503,-4.010502737401078,-0.015366098208796539
106.0,25.33799214551825,128.05196845277757,-4.023799390439114,-0.011189231633532195
107.0,24.704899125686335,128.82900410127593,-4.032943786478215,-0.0070636060928818
108.0,24.077667293544383,129.61007418384634,-4.037962752303798,-0.002956031396826078
109.0,23.453739695613706,130.39189581945476,-4.03914467600201,0.0005477698990719951
110.0,22.830451521052264,131.1720383500779,-4.036864208897505,0.004025718788391879
111.0,22.205103535105735,131.94834311442366,-4.031105894414053,0.007533076971598528
112.0,21.574996488039954,132.71865156956113,-4.021852838116929,0.011067400032657514
113.0,20.937431130120768,133.48080517255949,-4.009091104881152,0.01462202836709604
114.0,20.289708211614006,134.23264538048775,-3.992813163474203,0.01818404769280858
115.0,19.629128482785525,134.9720136504151,-3.9730226561033417,0.021732289311127237
116.0,18.95299269390116,135.69675143941063,-3.94974043245768,0.025235527941286084
117.0,18.25860159522677,136.4047002045435,-3.9230116812541125,0.028651125288087227
118.0,17.543255937028174,137.09370140288274,-3.8929138361446656,0.03192445866180781
119.0,16.804256469571236,137.76159649149758,-3.859564731131217,0.034989537073360784
120.0,16.038903943121788,138.40622692745703,-3.823130253810616,0.037771200725248893
121.0,15.24449910794567,139.0254341678302,-3.7838305347166217,0.04018917751488515
122.0,14.41888785954324,139.61677241306072,-3.742198805742794,0.04173927943467453
123.0,13.563718987328306,140.17579198205058,-3.6985814642047594,0.0437460129653374
124.0,12.682261138723504,140.6971896322726,-3.6524658650096358,0.046416960505218575
125.0,11.777788954401254,141.17565896314065,-3.6033080811228957,0.04977475052599362
126.0,10.853577075033984,141.6058935740688,-3.5505480422985745,0.053844288969111975
127.0,9.912900141294111,141.98258706447106,-3.4936147692965,0.058639272834960475
128.0,8.959032793854064,142.30043303376138,-3.4319418053220336,0.06414305571766442
129.0,7.99524967338626,142.55412508135373,-3.364996491135956,0.07028238221405274
130.0,7.024825420563123,142.73835680666218,-3.2923269385067813,0.0768943720222666
131.0,6.051034676057075,142.84782180910062,-3.213629229288413,0.08369131333121056
132.0,5.077152080540538,142.87721368808312,-3.1288332605809406,0.09023480136992734
133.0,4.106452274685934,142.82122604302356,-3.038197748658499,0.0959388361366146
134.0,3.1422211084214644,142.67456233073594,-2.942509708072333,0.09896294103253901
135.0,2.1902205195725704,142.43410347540555,-2.846047824034869,0.09781147943613074
136.0,1.2617867214885559,142.10163240937547,-2.749229499177426,0.09881184855111456
137.0,0.36901794190186304,141.6796021791061,-2.650286208362108,0.10181880347670175
138.0,-0.4759875914550653,141.17046583105795,-2.5475612238405394,0.10662008510578294
139.0,-1.2611316508497878,140.5766764116915,-2.4395809722824247,0.11285713354393942
140.0,-1.974319179280298,139.9006898611841,-2.3252902695694524,0.11819138842782806
141.0,-2.605792722673226,139.1470954960039,-2.21229526798382,0.11161443198131685
142.0,-3.15226763298725,138.32638993653055,-2.105138457036524,0.10582538940428966
143.0,-3.6115703457686887,137.45008381598282,-2.002730649211985,0.10135032055309519
144.0,-3.9815272965638635,136.5296877675798,-1.903715320012163,0.09848889956449886
145.0,-4.25996492091909,135.57671242454032,-1.8065868205595796,0.09740012971579093
146.0,-4.444710393708476,134.60266770790128,-1.7097836517148257,0.09767511622436145
